SI. No.,Name of Institution,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total
173,"263 SMT R. D. GARDI B. PHARMACY COLLEGE, NYARA RAJKOT (Id: C-150)",1,1,0,2,50,50,NA,100,35,30,NA,65
174,"265 SWAMINARAYAN PHARMACY COLLEGE, SALVAV (Id: C-89)",1,1,0,2,80,80,NA,160,0,15,NA,15
175,"266 MATUSHREE V.B.MANVAR COLLEGE OF PHARMACY, DUMIYANI (Id: C-170)",2,1,0,3,120,30,NA,150,25,25,NA,50
176,"267 VEERAYATAN INSTITUTE OF PHARMACY, JAKHANIA (Id: C-22)",6,2,0,8,844,90,NA,934,38,12,NA,50
177,"268 VIDHYABHARTI TRUST COLLEGE OF PHARMACY, UMARAKH (Id: C-195)",1,1,0,2,125,120,NA,245,0,15,NA,15
178,"270047-ASSandSPS'S KALA,WANIJYA and VIDNYAN MAHAVIDYALAYA, NAVAPUR. (Id: C-8884)",1,1,0,2,120,100,NA,220,25,50,NA,75
179,"270048-ASSS'S COLLEGE OF EDUCATION, NAVAPUR, DIST-NANDURBAR. (Id: C-8835)",1,1,0,2,100,80,NA,180,75,50,NA,125
180,"274 LAXMINARAYAN DEV COLLEGE OF PHARMACY, BHOLAV, BHARUCH (Id: C-358)",0,1,0,1,NA,12,NA,12,NA,7,NA,7
181,"278 SHANKARSINH VAGHELA BAPU INSTITUTE OF PHARMACY, UNAVA, GANDHINAGAR (Id: C-290)",1,1,0,2,187,200,NA,387,155,30,NA,185
182,"284 SMT.. R. B. PATEL MAHILA PHARMACY COLLEGE, (ONLY FOR GIRLS) ,ATKOT (Id: C-154)",0,1,0,1,NA,1100,NA,1100,NA,850,NA,850
183,287 DR. SUBHASH PETHALJIBHAI CHAVDA AHIR KELVANI MANDAL'S GROUP OF INSTITUTION-PHARMACY (Id: C-52),1,0,0,1,140,NA,NA,140,140,NA,NA,140
184,"401 A. R. COLLEGE OF PHARMACY and G.H.P. INSTITUTE OF PHARMACY(Diploma), V.V.NAGAR (SFI) (Id: C-460)",1,1,0,2,64,50,NA,114,18,12,NA,30
185,"403 B. K. Mody Govt.Pharmacy College (Diploma), Rajkot (Id: C-461)",1,1,0,2,100,78,NA,178,140,81,NA,221
186,"406 Dr. Dayaram Patel Pharmacy College (Diploma), Bardoli, Surat (Id: C-459)",0,1,0,1,NA,120,NA,120,NA,3,NA,3
187,408 L. M. College Of Pharmacy (Diploma) (Id: C-458),1,1,0,2,136,100,NA,236,136,100,NA,236
188,"409 M. N. College Of Pharmacy (Diploma), Khambhat (Id: C-457)",1,2,0,3,300,250,NA,550,4,12,NA,16
189,"415 Shri B. M. Shah College Of Pharmacy (Diploma), Modasa (Id: C-464)",1,1,0,2,100,100,NA,200,6,4,NA,10
190,"417 Tolani Institute Of Pharmacy (Diploma), Adipur (Id: C-465)",1,1,0,2,60,60,NA,120,18,5,NA,23
191,501 Anand Institute of Information Science (SFI)-Anand (Id: C-316),1,1,0,2,210,300,NA,510,1,3,NA,4
192,"502 ATMIYA INSTITUTE OF TECH and SC., ,RAJKOT (Id: C-412)",1,0,0,1,100,NA,NA,100,100,NA,NA,100
193,503 B. H. Gardi College of Engineering and Technology (SFI)-Rajkot (Id: C-234),2,1,0,3,400,100,NA,500,400,50,NA,450
194,505 C. U. Shah College of Master of Computer Application (SFI)-Surendranagar (Id: C-174),1,1,0,2,432,60,NA,492,206,30,NA,236
195,506 Chaudhari Technical Institute (Womens College) - MCA (SFI) - Gandhinagar (Id: C-88),0,1,0,1,NA,45,NA,45,NA,40,NA,40
196,"507 D.L.Patel Institute of Management and Technology, MCA college.(SFI)-Himmatnagar (Id: C-260)",1,1,0,2,30,30,NA,60,2,8,NA,10
197,510 Indus Institute of Technology and Engineering (SFI) -Ahmedabad. (Id: C-160),1,0,0,1,224,NA,NA,224,137,NA,NA,137
198,514 Kalol Institute of Management (SFI) (MCA Programme) (Id: C-84),1,1,0,2,100,50,NA,150,0,0,NA,0
199,"515 Laljibhai Chaturbhai Institute of Technology (SFI),Bhandu,Mehsana. (Id: C-400)",1,1,0,2,360,120,NA,480,360,120,NA,480
200,517 L.J.Institute of Computer Applications (SFI)-Ahmedabad (Id: C-161),1,0,0,1,60,NA,NA,60,60,NA,NA,60
201,"520 Laxmi Institute of Computer Applications (MCA) (SFI), Sarigam Valsad (Id: C-306)",1,1,0,2,60,60,NA,120,4,3,NA,7
202,"524 Nootan Sarva Vidyalaya Kelavani Mandal Sanchalit MCA College(SFI),. (Id: C-100)",1,1,0,2,639,250,NA,889,12,6,NA,18
203,525 Parul Institute of Engineering and Technology-MCA Programme (SFI)-Vadodara (Id: C-155),1,1,0,2,531,420,NA,951,0,5,NA,5
204,"529 Department of MCA Sankalchand Patel College of Engineering (SFI),Visnagar. (Id: C-384)",1,1,0,2,648,216,NA,864,16,7,NA,23
205,"531 Sarvajanik College of Engineering and Technology(SFI),SURAT. (Id: C-244)",1,1,0,2,300,100,NA,400,80,280,NA,360
206,533 Shree Swaminarayan Institute of Technology(SFI)-Gandhinagar (Id: C-228),1,0,0,1,120,NA,NA,120,20,NA,NA,20
207,536 Shri Jairambhai Patel Institute of Business Management and Computer Applications (SFI)-Gandhinagar (Id: C-192),1,1,1,3,132,44,44,220,90,25,0,115
208,537 Shri Jaysukhlal Vadhar Institute of Management Studies Shri Bipin T. Vadhar College of Management (JVIMS-MCA College)(SFI)-Jamnagar (Id: C-171),1,1,0,2,100,100,NA,200,38,26,NA,64
209,542 Atmiya Institute of Technology and Science-(Engineering) (SFI) (Id: C-179),1,0,0,1,100,NA,NA,100,100,NA,NA,100
210,545 Growmore Group of Institutions (SFI)-Himmatnagar (Id: C-431),0,1,0,1,NA,60,NA,60,NA,3,NA,3
211,"547 Murlidhar Group of Institutions(SFI) Bhavnagar-Rajkot Highway, Rajkot (Id: C-133)",1,1,0,2,70,120,NA,190,6,10,NA,16
212,"552 VJKM Institute of Management and Computer Studies,VADU, TA- KADI, DIST- MEHSANA (SFI) (Id: C-141)",1,1,0,2,50,50,NA,100,8,4,NA,12
213,"555 SMT K K PATEL MCA COLLEGE, MEHSANA (Id: C-45055)",1,1,0,2,200,200,NA,400,175,4,NA,179
214,"557 SMT R O PATEL WOMEN'S MCA COLLEGE, MORBI (Id: C-44989)",0,1,0,1,NA,300,NA,300,NA,7,NA,7
215,"563 The Mandvi Education Society Institute of Business Management and Computer Studies,Mandvi,Di-Surat(SFI) (Id: C-313)",0,1,0,1,NA,20,NA,20,NA,20,NA,20
216,"602 A.V.Parekh Technical Institute,Rajkot (Id: C-50)",1,1,0,2,166,48,NA,214,166,48,NA,214
217,"603 Atmiya institue of Technology and Science for Diploma Studies Yogi Devine Soc, Rajkot (Id: C-61)",1,0,0,1,100,NA,NA,100,100,NA,NA,100
218,"604 B and B Institute of Technology,Vallabh Vidhyanagar - GIA (Id: C-166)",1,1,0,2,175,48,NA,223,148,48,NA,196
219,"605 B and B Institute of Technology,Vallabh Vidhyanagar (SFI) (Id: C-422)",1,1,0,2,175,48,NA,223,148,48,NA,196
220,"608 Bhagvan Mahavir Polytechnic, Surat (Id: C-78)",1,1,0,2,200,50,NA,250,60,50,NA,110
221,"609 C.U.Shah Polytechnic,Surendranagar (Id: C-349)",2,2,0,4,195,147,NA,342,195,147,NA,342
222,60 V.V. College Shamali (Prabudh Nagar) Mob.No.9837444533 01398-250024 (Id: C-29014),1,0,0,1,50,NA,NA,50,0,NA,NA,0
223,"611 Dr.J.N.Maheta Government Polytechnic,Amreli (Id: C-287)",1,1,0,2,50,80,NA,130,0,80,NA,80
224,"615 Government Girls Polytechnic,Surat. (Id: C-385)",0,1,0,1,NA,120,NA,120,NA,120,NA,120
225,617 Government Polytechnic Ahmedabad (Id: C-351),1,0,0,1,210,NA,NA,210,210,NA,NA,210
226,620 Government Polytechnic Rajkot (Id: C-243),1,1,0,2,120,50,NA,170,120,50,NA,170
227,"621 Government Polytechnic,Bhuj (Id: C-56)",1,1,0,2,48,32,NA,80,48,0,NA,48
228,"622 Government Polytechnic,Chotta Udepur (Id: C-277)",1,1,0,2,132,48,NA,180,132,0,NA,132
229,"624 Government Polytechnic,Himmatnagar (Id: C-337)",1,1,0,2,132,48,NA,180,150,64,NA,214
230,"625 Government Polytechnic,Jamnagar (Id: C-51)",1,1,0,2,132,48,NA,180,132,48,NA,180
231,"626 Government Polytechnic,Palanpur (Id: C-416)",3,1,0,4,345,60,NA,405,345,20,NA,365
232,"627 Government Polytechnic,Porbandar (Id: C-279)",1,1,0,2,100,48,NA,148,0,48,NA,48
233,"628 Government Polytechnic,Vadnagar (Id: C-187)",1,0,0,1,120,NA,NA,120,90,NA,NA,90
234,"629 Government Polytechnic,Valsad (Id: C-300)",1,1,0,2,100,48,NA,148,42,92,NA,134
235,"630 Government Polytechnic,Dahod (Id: C-217)",1,1,0,2,180,48,NA,228,180,48,NA,228
236,"631 K.D.Polytechnic,Patan (Id: C-156)",1,1,0,2,96,84,NA,180,122,60,NA,182
237,"633 L.J.Polytechnic,Ahmedabad (Id: C-95)",1,0,0,1,30,NA,NA,30,30,NA,NA,30
238,"634 L.E.COLLEGE ,MORBI (Id: C-26)",8,2,0,10,1250,144,NA,1394,1250,144,NA,1394
239,"635 M.L.Institute of Diploma Studies, Bhandu (Id: C-226)",1,1,0,2,360,150,NA,510,300,50,NA,350
240,"636 Merchant Polytechnic, Visnagar (Id: C-240)",4,0,0,4,558,NA,NA,558,104,NA,NA,104
241,"637 N.G.Patel Polytechnic,Isroli (Id: C-268)",2,1,0,3,210,60,NA,270,68,45,NA,113
242,638 Parul Institute of Diploma Studies (Id: C-81),2,1,0,3,1000,400,NA,1400,1000,400,NA,1400
243,"639 Parul Institute of Diploma Studies,Limda (Id: C-157)",3,1,0,4,1100,400,NA,1500,1100,400,NA,1500
244,"640 R.C.Technical Institute,Ahmedabad (Id: C-206)",1,0,0,1,120,NA,NA,120,110,NA,NA,110
245,642 RMS Polytechnic Waghodiya (Id: C-403),1,1,0,2,500,500,NA,1000,220,130,NA,350
246,"644 B.S.Patel Polytechnic,Mehsana. (Id: C-200)",4,3,0,7,1310,690,NA,2000,1310,690,NA,2000
247,"646 Shri N.M.Gopani Polytechnic institute,Ranpur (Id: C-255)",1,1,0,2,400,50,NA,450,400,50,NA,450
248,"649 Sir Bhavsinhji Polytechnic Institute, Bhavnagar (Id: C-288)",1,1,0,2,450,110,NA,560,396,102,NA,498
249,"650 Swami Sacchidanand Polytechnic college,Visnagar (Id: C-252)",2,1,0,3,432,216,NA,648,102,0,NA,102
250,"651 T.F.Gandhidham Polytechnic,Adipur(Kutch) (Id: C-428)",2,1,0,3,360,181,NA,541,319,161,NA,480
251,"653 Tolani Foundation,Gandhidham Polytechnic(SFI) (Id: C-223)",2,1,0,3,360,181,NA,541,338,142,NA,480
252,"654 V.P.M.P. Polytechnic, Gandhinagar (Id: C-283)",1,1,0,2,300,54,NA,354,300,54,NA,354
253,"655 Vallabhbudhi polytechnic, Navsari (Id: C-420)",1,1,0,2,200,180,NA,380,150,60,NA,210
254,"663 Balaji Insti. Of Eng. and Tech, Junagadh (Id: C-265)",1,0,0,1,200,NA,NA,200,200,NA,NA,200
255,"664 Atul Polytechnic, Mansa, Mahudi (Id: C-203)",1,0,0,1,60,NA,NA,60,45,NA,NA,45
256,"666 S.B. Polytechnic, Savli, Vadodara (Id: C-77)",1,0,0,1,48,NA,NA,48,6,NA,NA,6
257,"668 Narayanbhai Bhikhabhai Patel Polytechnic,Piludara, Mehsana (Id: C-215)",3,0,0,3,640,NA,NA,640,640,NA,NA,640
258,"669 Savitaben Dahyabhai Patel Polytechnic, Mehsana (Id: C-374)",3,0,0,3,328,NA,NA,328,328,NA,NA,328
259,"671 Swaminarayan College of Engg., Saij, Kalol (Id: C-363)",1,0,0,1,50,NA,NA,50,20,NA,NA,20
260,"674 Aarsh Mahavidyalaya, Tramba,Rajkot (Id: C-371)",1,0,0,1,200,NA,NA,200,200,NA,NA,200
261,"675 F. D.(Mubin) Institute of Engineering and Technology, Dehgam, Bahiyal, Gandhinagar (Id: C-328)",1,0,0,1,200,NA,NA,200,40,NA,NA,40
262,"677 Shree Hari Polytechnic Institute, Nani Kadi (Id: C-71)",1,0,0,1,50,NA,NA,50,37,NA,NA,37
263,"680 Arpit Institute of Engineering and Technology (Diploma),Hadala,Rajkot (Id: C-220)",1,1,0,2,480,120,NA,600,200,80,NA,280
264,"681 Smt. R.S.Patel Insti. Of Diploma Engg., Shelavi, Patan (Id: C-54)",1,1,0,2,200,50,NA,250,150,50,NA,200
265,"683 Image Engg. And Technology Institute, Kheda (Id: C-205)",1,0,0,1,50,NA,NA,50,30,NA,NA,30
266,"688 VALIA INSTITUTE OF TECHNOLOGY, BHARUCH (Id: C-24)",1,1,0,2,800,400,NA,1200,310,120,NA,430
267,702 Anand Institute Of Management. Anand (SFI) (Id: C-104),1,1,0,2,210,300,NA,510,3,2,NA,5
268,703 Atmiya Institute Of Technology and Science Rajkot (SFI) (Id: C-45),1,0,0,1,100,NA,NA,100,100,NA,NA,100
269,"705 C.K.Shah Vijapurwala Institute of Management, Vadodra (SFI) (Id: C-410)",1,0,0,1,75,NA,NA,75,72,NA,NA,72
270,708 Chaudhari Technical Institute - MBA WOMENS(SFI) (Id: C-111),0,1,0,1,NA,132,NA,132,NA,10,NA,10
271,709 D.L.Patel Institute of Management and Technology-MBA Programme (SFI)-Himmatnagar (Id: C-390),1,1,0,2,30,30,NA,60,0,0,NA,0
272,"713 Grow More Faculty of Management (SFI),Himmatnagar (Id: C-284)",0,1,0,1,NA,100,NA,100,NA,2,NA,2
273,716 GIDC Rajju Shroff Rofel Institute of Management Studies-Vapi (SFI) (Id: C-113),1,1,0,2,40,50,NA,90,15,10,NA,25
274,718 Hasmukh Goswami College of Engineering(SFI)-Vehlal Dahegam (Id: C-342),1,1,0,2,150,100,NA,250,98,53,NA,151
275,"720 INDUS INSTITUTE OF TECH. and ENGG., RACHARDA, AHMEDABAD (Id: C-254)",1,1,0,2,192,32,NA,224,110,27,NA,137
276,721 K.J. Institute of Management (SFI)-Vadasma Di:Mehsana (Id: C-376),1,1,0,2,250,40,NA,290,150,25,NA,175
277,722 K.K.Parekh Institute of Management Studies (SFI)-Amreli (Id: C-230),1,1,0,2,50,30,NA,80,0,0,NA,0
278,724 K.P.Patel School of Management and Computer Studies (KSMCS) - MBA Programmme.(SFI)-Kapadvanj (Id: C-68),0,1,0,1,NA,45,NA,45,NA,0,NA,0
279,"727 M.H.Gardi School of Management, Rajkot (SFI) (Id: C-317)",2,1,0,3,355,100,NA,455,0,0,NA,0
280,"731 Laxmi Institute of Management,Sarigam (SFI) (Id: C-148)",1,1,0,2,30,32,NA,62,0,0,NA,0
281,733 Late Smt.Shardaben Ghanshyambhai Patel Institute of Management Studies (SFI)-Dharmaj (Id: C-143),1,1,0,2,100,100,NA,200,6,4,NA,10
282,738 Noble Engineering College(MBA Course) (SFI) -Bamangam Junagadh (Id: C-193),1,1,0,2,392,256,NA,648,207,56,NA,263
283,"739 Nootan Sarva Vidyalaya Kelavani Mandal Sanchalit, MBA College, Visnagar (SFI) (Id: C-251)",1,1,0,2,639,250,NA,889,8,9,NA,17
284,"742 Parul Institute of Engineering and Technology-MBA Programme (SFI),Waghodia. (Id: C-352)",2,2,0,4,760,680,NA,1440,760,680,NA,1440
285,"749 S.V. Institute of Management (SFI),Kadi. (Id: C-375)",1,1,0,2,60,60,NA,120,28,17,NA,45
286,"751 Sabar Institute of Management (SFI) Gandhinagar-Himmatnagar Highway, Nr. Gandhinagar (Id: C-63)",0,1,0,1,NA,60,NA,60,NA,3,NA,3
287,"752 Department of Business Management, Sankalchand Patel College of Engineering (SFI)-Visnagar (Id: C-152)",1,1,0,2,648,216,NA,864,3,5,NA,8
288,760 Shree Leuva Patel Trust MBA Mahila College (SFI)-Amreli Womens Only (Id: C-303),0,1,0,1,NA,240,NA,240,NA,23,NA,23
289,762 Shree Samanvay Institute of Business Administration (SFI)-Botad -Bhavnagar. (Id: C-144),1,1,0,2,200,70,NA,270,20,20,NA,40
290,770 Shri Jaysukhlal Vadhar Institute of Management Studies Shri Bipin T. Vadhar College of Management (JVIMS) (SFI)-Jamnagar (Id: C-85),1,1,0,2,100,100,NA,200,38,26,NA,64
291,771 Shri MH Kadakia Institute of Management and Computer Studies (SFI)-Ankleshwar (Id: C-304),1,0,0,1,20,NA,NA,20,0,NA,NA,0
292,775 Sigma Institute of Engineering (SFI) -Barrrol-Ta:Waghodiya Di:Vadodara. (Id: C-165),1,1,0,2,100,60,NA,160,2,1,NA,3
293,776 Sigma Institute of Management Studies(SFI)-Bakrol-Vadodara (Id: C-299),1,1,0,2,100,50,NA,150,3,6,NA,9
294,781 SRK Institute of Management and Computer Education (SFI)-Anjar Kutchh (Id: C-79),1,1,0,2,60,60,NA,120,2,0,NA,2
295,782 Swami Ghanshyam Jivandasji MBA College (SGJ MBA College)(SFI)-Mandvi Kutchh (Id: C-114),1,1,0,2,100,50,NA,150,100,40,NA,140
296,"787 Atmiya Institute of Technology and Science (SFI),Rajkot. (Id: C-307)",1,0,0,1,100,NA,NA,100,100,NA,NA,100
297,"788 C.C.Gardi Institute of Management,Rajkot -(SFI) (Id: C-434)",2,1,0,3,356,100,NA,456,0,0,NA,0
298,"795 J.H.Patel College of Management and Technology (SFI) ,Christipura, Dahemi,Ta: Borsad,Di:Anand (Id: C-397)",1,1,0,2,30,30,NA,60,3,0,NA,3
299,"797 M.H.Gardi School of Management, Rajkot (SFI)- Second Shift (Id: C-70)",2,1,0,3,356,100,NA,456,0,0,NA,0
300,799 Naran Lala School of Industrial Management and Computer Science- Navsari -(SFI) (Id: C-401),1,1,0,2,40,40,NA,80,0,0,NA,0
301,801 Param Institute of Management and Research(SFI) .Lakhabavad Road-Jamnagar. (Id: C-249),1,1,0,2,30,30,NA,60,0,0,NA,0
302,"802 Parul Institute of Management (SFI),WAGHODIA-Second Shift (Id: C-263)",1,1,0,2,60,60,NA,120,2,0,NA,2
303,814 Vidyabharti Trust Inst.Of technology and Reserch Centre (SFI) -Umrakh Bordoli (Id: C-272),0,1,0,1,NA,125,NA,125,NA,100,NA,100
304,"816 VJKM Institute of Management and Computer Studies,Vadu, TA- Kadi-(SFI) (Id: C-87)",1,1,0,2,50,50,NA,100,2,1,NA,3
305,"818 SMT K K PATEL MBA COLLEGE, MEHSANA (Id: C-45056)",1,1,0,2,200,200,NA,400,175,4,NA,179
306,"A1 Global Institute of Engineering and Technology, Markapur- 523316 (CC-7Y) (Id: C-18145)",0,1,0,1,NA,50,NA,50,NA,40,NA,40
307,"AADHI BHAGAWAN COLLEGE OF PHARMACY RANTHAM, TIRUVANNAMALAI, TIRUVANNAMALAI (Id: C-45798)",1,1,0,2,100,60,NA,160,40,30,NA,70
308,"A.A. Government Arts College, Musiri - 621 201. (Id: C-35789)",1,0,0,1,113,NA,NA,113,75,NA,NA,75
309,Aakar Adhyapan Mandir M. Ed. College (Id: C-5979),1,1,0,2,200,20,NA,220,5,5,NA,10
310,Aalim Muhammed Salegh College of Engineering (Id: C-16533),1,0,0,1,480,NA,NA,480,426,NA,NA,426
311,Aarupadai Veedu Institute of Technology (Id: C-10224),2,1,0,3,800,350,NA,1150,453,157,NA,610
312,Aarupadai Veedu Medical College and Hospital (Id: C-10217),1,1,2,4,229,162,228,619,194,161,190,545
313,"Aayojan School of Architecture,Jaipur (Id: C-25126)",1,1,0,2,94,184,NA,278,81,176,NA,257
314,ABACUS Institute of Engineering and Management 240-ENGG (Id: C-6310),2,1,0,3,105,35,NA,140,80,35,NA,115
315,"Abdul Hamid Unani Chikitsa College, Dewas (Id: C-31722)",0,1,0,1,NA,40,NA,40,NA,35,NA,35
316,Abdul Kalam Institute of Technological Science (Id: C-19892),1,1,0,2,100,60,NA,160,80,45,NA,125
317,"ABES ENGINEERING COLLEGE, GHAZIABAD (Id: C-46112)",1,1,0,2,867,334,NA,1201,855,325,NA,1180
318,"Abha College of Engineering, Wardha road (Id: C-18255)",1,1,0,2,150,100,NA,250,1,1,NA,2
319,Abhaya College of Nursing (Id: C-40234),0,1,0,1,NA,160,NA,160,NA,106,NA,106
320,Abhedananda Mahavidyalaya (Id: C-44682),1,0,0,1,100,NA,NA,100,50,NA,NA,50
321,"Abhilashi College of Education, Ner Chowk, Teh. Sadar, Distt Mandi (Id: C-11274)",0,1,0,1,NA,50,NA,50,NA,10,NA,10
322,"Abhilashi College of Pharmacy, Tanda Po Balt, Ner-Chowk, Distt Mandi (Id: C-11378)",1,1,0,2,40,200,NA,240,21,69,NA,90
323,"Abhilashi Group Of Institutions, Chail Chowk, Mandi (Id: C-11282)",1,0,0,1,200,NA,NA,200,34,NA,NA,34
324,"Abhilashi Institute of Management Studies, Tanda,PO Balt, Distt Mandi (Id: C-11509)",2,1,0,3,110,60,NA,170,78,56,NA,134
325,"Abhilashi Institutes of Bio-Technology, Tanda, Distt Mandi (Id: C-11517)",1,1,0,2,200,200,NA,400,150,120,NA,270
326,"Abhinav Education Society College of Engineering and Technology, Vaddwadi, (Id: C-11223)",1,1,0,2,100,200,NA,300,50,150,NA,200
327,"Abhinav Education Society's Institute of Management and Business Administration, Akole, Dhamangaon Awari Road, Akole, Dist.Ahmednagar 422601. (Id: C-44574)",0,0,1,1,NA,NA,60,60,NA,NA,10,10
328,"Abhudaya degree College, #26/1, Chikkaballenadur Village, Caremlaram Road, P.O. Sarjapur Road, Bangalore -35 (Id: C-20982)",1,1,0,2,200,200,NA,400,20,25,NA,45
329,Abhyayapuri College (Id: C-17367),1,1,0,2,50,25,NA,75,0,25,NA,25
330,"ABI and ABI College, Vayalur, Thanjavur - 613 003 (Id: C-35891)",1,1,0,2,150,250,NA,400,81,125,NA,206
331,A.B.M. College (Id: C-32735),1,1,0,2,100,50,NA,150,50,20,NA,70
332,"(A.B.M.S.) Akhil Bharatiya Maratha Shikshan Parishad's College of Engineering and Research Address: S. No. 103, Shahu College Campus, Parvati, Taluka: Pune (corporation Area) District: Pune - 411009 (Id: C-41484)",1,1,0,2,50,50,NA,100,0,0,NA,0
333,"ABMSPs Shri Shahu Mandir Mahavidyalaya of Arts and Commerce, Pune (Id: C-41373)",1,1,0,2,175,100,NA,275,175,85,NA,260
334,"ABMSPs Yashwantrao Chavan Law College, Pune (Id: C-41252)",1,1,0,2,168,118,NA,286,54,24,NA,78
335,"A B N SEAL COLLEGE, COOCHBEHAR (Id: C-45314)",1,1,0,2,90,70,NA,160,90,70,NA,160
336,ABS Academy (Id: C-44712),1,1,0,2,80,50,NA,130,2,3,NA,5
337,"ABS Academy of Science, Technology And Management 216-MBA (Id: C-6195)",1,1,0,2,80,50,NA,130,5,0,NA,5
338,"ABS Academy of Science, Technology and Management 216-WBUT (Id: C-6224)",1,1,0,2,80,50,NA,130,45,4,NA,49
339,A.B.S.M. INSTITUTE OF DENTAL SCIENCES (Id: C-19320),1,3,0,4,140,721,NA,861,132,387,NA,519
340,"ABSS INSTITUTE OF TECHNOLOGY, MAWANA ROAD, MEERUT (Id: C-46196)",1,1,0,2,150,50,NA,200,70,10,NA,80
341,Academy of Business Administration (Id: C-21376),1,1,0,2,50,100,NA,150,35,40,NA,75
342,"Academy of Business Administration, (ABA), Balasore (Id: C-30139)",1,1,0,2,50,100,NA,150,35,40,NA,75
343,"Academy of Business Management Tourism and Research, #237/82/2, Hosur Main Roiad, Near Kodlugate, Singasandra Village, Begur Hobli, Bangalore-560 068 (Id: C-21019)",1,1,0,2,20,22,NA,42,8,16,NA,24
344,"Academy of Life Sciences (Nursing), Visakhapatnam (Id: C-30528)",1,1,0,2,50,150,NA,200,23,44,NA,67
345,Academy of Technology 169-ENGG (Id: C-6232),2,4,0,6,370,147,NA,517,317,109,NA,426
346,A.C.College (Day) (Id: C-32762),2,1,0,3,600,300,NA,900,400,150,NA,550
347,"ACCURATE INSTITUTE OF ADVANCED MANAGEMENT, GREATER NOIDA (Id: C-46268)",1,1,0,2,370,230,NA,600,637,228,NA,865
348,"ACCURATE INSTITUTE OF MANAGEMENT AND TECHNOLOGY, GREATER NOIDA (Id: C-46248)",1,1,0,2,370,230,NA,600,366,228,NA,594
349,A.C.Evening College (Id: C-32720),2,1,0,3,800,400,NA,1200,150,30,NA,180
350,Achariya College of Education (Id: C-6571),1,1,0,2,500,500,NA,1000,7,14,NA,21
351,Acharya B M Reddy College of Pharmacy (Id: C-40354),2,1,0,3,585,144,NA,729,13,18,NA,31
352,"Acharya College of Imaging Technology, Bangalore (Id: C-44864)",1,1,0,2,50,129,NA,179,17,5,NA,22
353,Acharya College of MHA (Id: C-40513),1,1,0,2,120,140,NA,260,8,12,NA,20
354,Acharya College of MLT (Id: C-40225),1,1,0,2,50,129,NA,179,14,15,NA,29
355,Acharya College of Nursing (Id: C-40113),1,1,0,2,200,200,NA,400,13,50,NA,63
356,Acharya Deshbhushan Ayurvedic Medical College (Id: C-40413),1,1,0,2,75,75,NA,150,60,65,NA,125
357,"Acharya Institute of Management and Science, Ist Stage, Peenya Industrial Estate, Bangalore-58 (Id: C-20727)",3,1,0,4,384,150,NA,534,456,31,NA,487
358,Acharya Institute of Physiotherapy (Id: C-40369),1,1,0,2,50,129,NA,179,11,7,NA,18
359,"Acharya Institute of Technology, BANGALORE (Id: C-1319)",4,3,0,7,762,270,NA,1032,752,262,NA,1014
360,"Acharya Instiute Graduate Studies(of Journalism), No.80-90, Soladevanahalli, Chikkabanavara Post, Bangalore -90 (Id: C-20716)",1,2,0,3,425,95,NA,520,84,27,NA,111
361,Acharya Inst. of Health Sciences (Id: C-40350),1,1,0,2,50,129,NA,179,11,7,NA,18
362,"Acharya Jawadekar Shikshanshastra Mahavidyalaya, GARGOTI (Id: C-11138)",1,1,0,2,100,100,NA,200,40,40,NA,80
363,Acharya Kalu Kanya Mahavidyalaya (Id: C-22472),0,1,0,1,NA,150,NA,150,NA,99,NA,99
364,Acharya N.G.Ranga College of Education (Id: C-32793),1,1,0,2,100,100,NA,200,17,28,NA,45
365,"Acharya Pathashala Rural College of Engg., BANGALORE (Id: C-1248)",1,0,0,1,150,NA,NA,150,140,NA,NA,140
366,Acharya Prafulla Chandra College (Id: C-43362),1,1,0,2,100,80,NA,180,0,0,NA,0
367,"Acharyar NRV School of Architecture, BANGALORE (Id: C-1414)",1,3,1,5,300,600,100,1000,4,15,10,29
368,"Acharyas Bangalore B School, No.3, Lingadeeranahalli, Bangalore -91 (Acharya Institute of Science, No.01, Chola Nagar, R.T. Nagar post, Bangalore-32) (Id: C-20933)",1,1,0,2,200,156,NA,356,197,126,NA,323
369,"ACHARYA SHRI NANESH SAMTA MAHAVIDHYALAYA, NANESH NAGAR, DANTA TEHSIL KAPASAN (Id: C-39865)",1,0,0,1,160,NA,NA,160,110,NA,NA,110
370,Acharya Shri Nanesh Samta Mahavidyalaya (Id: C-25206),1,0,0,1,120,NA,NA,120,15,NA,NA,15
371,"Acharya Sitarama Chaturvedi Mahila Mahavidyalaya, Domri, Ramnagar, Varanasi (Id: C-13631)",0,1,0,1,NA,30,NA,30,NA,0,NA,0
372,Acharya Sri Chander College of Medical Science and Hospital (Id: C-22936),2,1,2,5,175,80,96,351,77,53,59,189
373,"Achutha Institute of Technology, CHIKKABALLAPUR (Id: C-1286)",2,1,0,3,100,50,NA,150,75,30,NA,105
374,"ACKHM ICA COLLEGE, THOZHIYUR (Id: C-8258)",0,1,0,1,NA,120,NA,120,NA,60,NA,60
